data_somministrazione,prima_dose,ciclo_completo
2021-04-28,262383,146697
2021-04-29,345248,184361
2021-04-30,328931,199229
2021-05-01,276939,156222
2021-05-02,245647,124294
2021-05-03,282767,129763
2021-05-04,304482,144430
2021-05-05,327698,155318
2021-05-06,336135,183945
2021-05-07,346118,198088
2021-05-08,317548,195762
2021-05-09,249077,134561
2021-05-10,285900,155179
2021-05-11,292383,164640
2021-05-12,314069,170141
2021-05-13,333883,195102
2021-05-14,340080,214395
2021-05-15,351848,192574
2021-05-16,267217,142644
2021-05-17,267318,199724
2021-05-18,275673,193437
2021-05-19,299362,187376
2021-05-20,302937,248914
2021-05-21,319746,250337
2021-05-22,313012,205973
2021-05-23,246791,160649
2021-05-24,269260,194967
2021-05-25,264005,214438
2021-05-26,281906,243670
2021-05-27,302033,287446
2021-05-28,315985,277542
2021-05-29,313267,210891
2021-05-30,250715,151321
2021-05-31,320404,158951
2021-06-01,329120,138522
2021-06-02,335217,76108
2021-06-03,457307,139141
2021-06-04,497810,133736
2021-06-05,491759,126044
2021-06-06,423686,88189
2021-06-07,448709,121755
2021-06-08,454145,127210
2021-06-09,463439,129610
2021-06-10,495059,136758
2021-06-11,479491,142342
2021-06-12,453132,110419
2021-06-13,351609,83265
2021-06-14,327070,204944
2021-06-15,312845,217167
2021-06-16,314672,241490
2021-06-17,313757,289477
2021-06-18,310835,296889
2021-06-19,290140,268200
2021-06-20,220952,216266
2021-06-21,277359,280289
2021-06-22,281955,288215
2021-06-23,273219,293612
2021-06-24,286163,323159
2021-06-25,275339,339877
2021-06-26,260402,293691
2021-06-27,207677,223292
2021-06-28,258705,299284
2021-06-29,240035,321433
2021-06-30,238360,333226
2021-07-01,213035,353923
2021-07-02,192948,360356
2021-07-03,160114,365981
2021-07-04,134894,278692
2021-07-05,161971,376346
2021-07-06,158845,376313
2021-07-07,141468,404911
2021-07-08,110742,472481
2021-07-09,104649,491871
2021-07-10,97150,470553
2021-07-11,56059,354105
2021-07-12,85830,479176
2021-07-13,84105,485425
2021-07-14,91908,472090
2021-07-15,96265,514374
2021-07-16,90470,502032
2021-07-17,77057,458354
2021-07-18,82134,360281
2021-07-19,115646,453711
2021-07-20,114819,449762
2021-07-21,125464,448188
2021-07-22,136262,461941
2021-07-23,150238,427446
2021-07-24,106385,367434
2021-07-25,78681,281004
2021-07-26,134757,410940
